device_id;datetime;latitude;longitude;altitude;speed;battery_voltage;cabin_temperature;fuel_level
;;55.70329032;37.65472196;429.13;0;23,5;17;98
;;55.70329032;37.65472196;429.13;0;23,497;15;98
;;55.70329032;37.65472196;429.13;0;23,494;15;98
;;55.70329032;37.65472196;429.13;0;23,491;15;98
;;55.70329032;37.65472196;429.13;0;23,488;15;98
;;55.70329032;37.65472196;429.13;0;23,484;15;98
;;55.70329032;37.65472196;429.13;0;23,481;15;98
;;55.70329032;37.65472196;429.13;0;23,478;15;98
;;55.70329032;37.65472196;429.13;0;23,475;15;98
;;55.70329032;37.65472196;429.13;0;23,472;15;98
;;55.70329032;37.65472196;429.13;0;23,469;15;98
;;55.70329032;37.65472196;429.13;0;23,466;15;98
;;55.70329032;37.65472196;429.13;0;23,463;15;98
;;55.70329032;37.65472196;429.13;0;23,46;15;98
;;55.70329032;37.65472196;429.13;0;23,456;15;98
;;55.70329032;37.65472196;429.13;0;23,453;15;98
;;55.70329032;37.65472196;429.13;0;23,45;15;98
;;55.70329032;37.65472196;429.13;0;23,447;15;98
;;55.70329032;37.65472196;429.13;0;23,444;15;98
;;55.70329032;37.65472196;429.13;0;23,441;15;98
;;55.70329032;37.65472196;429.13;0;23,438;15;98
;;55.70329032;37.65472196;429.13;0;23,435;15;98
;;55.70329032;37.65472196;429.13;0;23,432;15;98
;;55.70329032;37.65472196;429.13;0;23,428;15;98
;;55.70329032;37.65472196;429.13;0;23,425;15;98
;;55.70329032;37.65472196;429.13;0;23,422;15;98
;;55.70329032;37.65472196;429.13;0;23,419;15;98
;;55.70329032;37.65472196;429.13;0;23,416;15;98
;;55.70329032;37.65472196;429.13;0;23,413;15;98
;;55.70329032;37.65472196;429.13;0;23,41;15;98
;;55.70329032;37.65472196;429.13;0;23,407;15;98
;;55.70329032;37.65472196;429.13;0;23,403;15;98
;;55.70329032;37.65472196;429.13;0;23,4;15;98
;;55.70329032;37.65472196;429.13;0;23,397;15;98
;;55.70329032;37.65472196;429.13;0;23,394;15;98
;;55.70329032;37.65472196;429.13;0;23,391;15;98
;;55.70329032;37.65472196;429.13;0;23,388;15;98
